username,userid,profile_location,created_at,text,retweet_count,source,coordinates
BeeBeeStyle,3403102645,Hong Kong,2023-01-17 05:12:04,Country Flags Series Smartphone Soft TPU Clear https://t.co/RNitFd8Jtn #clearcase #iphone #galaxy #worldcup2018… https://t.co/MIL4BrGiSi,0,EtsyMarketingTool,
CHNReds柒🇨🇳,3304177548,Hong Kong,2023-01-16 23:20:45,@90min_Football southgate!,0,Twitter for Android,
Chester Chiu,984416762933346304,Hong Kong,2023-01-16 15:51:31,@TheSpursWatch Very good at least he Kane and Cuti were playing football yesterday not the others jogging on the pitch,0,Twitter for iPhone,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-16 15:50:36,"@Hodge_sfc @imissmata @FutbolFax But don't disrespect the football prime Barcelona played, by comparing it to what… https://t.co/BHS7Xdg9Ts",0,Twitter for Android,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-16 15:01:28,@imissmata @Hodge_sfc @FutbolFax In that case you never saw Barcelona football in 2011. Tiki-taka isn't just passin… https://t.co/97pE8pjtiv,0,Twitter for Android,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-16 12:24:17,@Hodge_sfc @FutbolFax Anti football. PL sexuals man. Mate this is 76th min. The reason you don't see Real Madrid pr… https://t.co/dq5MWkU5Li,0,Twitter for Android,
Dennis,2839093213,香港,2023-01-16 12:11:15,@Football__Tweet Gigachad Ancelotti,0,Twitter Web App,
Carson Chan,51342708,香港,2023-01-16 09:55:47,@InsideSpurs1 @AlasdairGold @Football_LDN He didn’t buy Doherty and Royal. Spence was the club’ choice. So…,0,Twitter for iPhone,
Cotswolds Gunner,1293883413330616320,Cotswolds,2023-01-16 09:05:47,@LauraKirk12 For me it against Man Utd that has this effect. Probably because most of my football watching life Spu… https://t.co/jnS0z8FK3z,0,Twitter for iPhone,
John Bruce,986154550494019584,Hong Kong,2023-01-16 07:24:59,@Peterki12606816 It may only be me but I find it disturbing when those commenting on politics feature their footbal… https://t.co/kNcvqJy6GN,0,Twitter for iPhone,
Noah Shusterman 孫達文,735671924815106048,Hong Kong,2023-01-16 05:00:06,"I'll worry more about the New York Football Giants as the week goes on, but for now:
-it's only hard to beat a team… https://t.co/6DdXFOyIQ3",0,Twitter Web App,
CW LUI,1492186529506082822,Hong Kong,2023-01-16 01:54:55,"CHELSEA FOOTBALL- Ziyech is a super-talent . His crosses, volleying, shooting with left foot is marvelous and it is… https://t.co/7kedVD8JWn",0,Twitter Web App,
ARSREAL,1138683237251801088,香港,2023-01-16 01:11:59,@FabrizioRomano @arsen4ll @rehnato Thanks for updating. I really appreciate your hard work. That’s why I always thi… https://t.co/f1xuRQyAkt,0,Twitter for iPhone,
South China Morning Post,23922797,Hong Kong,2023-01-15 18:55:38,"Chelsea signs Ukrainian winger in whopping US$108 million, 8 and 1/2-year deal https://t.co/yxryb5VM4g",1,Echobox,
